Questions,PaperID,StudyID,DVID,LeadAuthor,Year,Domain,Pnum,PnumExperts,PnumIntermediate,PnumNovice,ExpertiseIVOp,ExpertiseIVDef,DecisionDVType,DecisionDVDelib,DecisionDVBias,DecisionDVStakes,DecisionDVObj,MainEffect,MainEffectStat,ModeratorsSig,ModeratorsNonSig,MediatorsSig,MediatorsNonSig,Notes,,,,
,656,,3,Akehurst,2004,17,26,police,,,5,1,7,4,3,2,1,-1,1,,,,,,,,,
,656,,4,Akehurst,2004,17,14,social workers,,,5,1,7,4,3,2,1,,1,,,,,calculate effects,,,,
,656,,5,Akehurst,2004,17,18,students,,,5,1,7,4,3,2,1,0,1,,,,,,,,,
,4,2,1,Alder,2014,3,16,8,,8,2,2,3,1,3,3,0,1,1,,,,,,,,,
,4,2,2,Alder,2014,3,16,8,,8,2,2,3,1,3,3,0,1,1,,,,,,,,,
,4,2,3,Alder,2014,3,16,8,,8,2,2,3,1,3,3,0,1,1,,,,,,,,,
,6,,1,Alison,2012,1,287,60,,227,2,2,1,4,3,2,1,-1,1,,,Level of congruence,,Influence of expert  opinion on judgments in lay people and police officers,,,,
,6,,2,Alison,2012,1,287,60,,227,2,2,1,4,3,2,1,1,1,,,Level of congruence,,Influence of expert  opinion on judgments in lay people and police officers,,,,
,669,,1,Anderson,1993,4,123,,,,2,1,2,4,2,2,0,1,1,outcome,flags,,,,,,,
,669,,2,Anderson,1993,4,123,,,,2,1,2,4,2,2,0,0,1,outcome,flags,,,,,,,
,669,,3,Anderson,1993,4,123,,,,2,1,2,4,2,2,0,0,1,outcome,flags,,,,,,,
,7,,1,Andrews,2008,2,90,60,,30,2,3,3,4,3,2,1,1,1,,,,,,,,,
,7,,2,Andrews,2008,2,90,60,,30,2,3,3,4,3,2,1,1,1,,,,,,,,,
,266,,1,Annis,2018,7,54,26,20,8,2,2,7,2,3,1,1,1,1,,,,,,,,,
,266,,2,Annis,2018,7,54,26,20,8,2,2,9,2,3,1,1,0,1,,,,,,,,,
,266,,3,Annis,2018,7,54,26,20,8,2,2,7,2,3,1,1,0,1,,,,,,,,,
,266,,4,Annis,2018,7,54,26,20,8,2,2,7,2,3,1,1,1,1,,,,,,,,,
,266,,5,Annis,2018,7,48,,,,2,2,9,2,3,1,1,0,1,,,,,,,,,
,266,,5,Annis,2018,7,54,,,,2,2,9,2,3,1,1,0,1,,,,,,,,,
,266,,6,Annis,2018,7,54,,,,2,2,9,2,3,1,1,1,1,,,,,,,,,
,679,,1,Arinsburg,2012,2,189,,,,2,1,7,4,3,1,1,,,,,,,,,,,
,679,,2,Arinsburg,2012,2,189,,,,2,1,7,4,3,1,1,,,,,,,,,,,
,679,,3,Arinsburg,2012,2,189,,,,2,1,7,4,3,1,1,,,,,,,,,,,
,679,,4,Arinsburg,2012,2,189,,,,2,1,7,4,3,1,1,,,,,,,,,,,
,679,,5,Arinsburg,2012,2,189,,,,2,1,7,4,3,1,1,,,,,,,,,,,
,679,,6,Arinsburg,2012,2,189,,,,2,3,7,4,3,1,1,1,,,,,,,,,,
,679,,7,Arinsburg,2012,2,189,,,,2,3,7,4,3,1,1,1,,,,,,,,,,
calculate effects,680,,,Arnulf,2010,4,90,45,45,,2,2,2,4,3,3,0,,1,,layout,,,,,,,
,681,,1,Arruabarrena,2017,27,574,405,,169,2,2,2,4,1,2,1,1,3,,"among the experts, some used a structured instrument and some didn't",,,,,,,
,681,,2,Arruabarrena,2017,27,574,405,,169,2,2,2,4,1,2,1,0,3,,"among the experts, some used a structured instrument and some didn't",,,,,,,
,681,,3,Arruabarrena,2017,27,574,405,,169,2,2,2,4,1,2,1,0,3,,"among the experts, some used a structured instrument and some didn't",,,,,,,
,681,,4,Arruabarrena,2017,27,574,405,,169,2,2,2,4,1,2,1,0,3,,"among the experts, some used a structured instrument and some didn't",,,,,,,
,10,2,1,Asare,1995,4,47,,,,2,3,2,4,3,1,1,1,1,,,,,compare auditors to inexperienced students,,,,
,10,2,2,Asare,1995,4,47,,,,2,3,2,4,3,1,1,1,1,,,,,compare auditors to inexperienced students,,,,
,11,,1,Avon,2010,1,29,9,10,10,2,1,7,3,3,3,1,0,3,,,,,novice performed beter than members and as well as experts,,,,
,11,,2,Avon,2010,1,29,9,10,10,2,1,7,3,3,3,1,0,3,,,,,novice performed beter than members and as well as experts,,,,
,691,,1,Bacarese-Hamilton,2013,2,18,,,,2,2,2,2,3,3,1,1,1,,,,,,,,,
,691,,2,Bacarese-Hamilton,2013,2,18,,,,2,2,2,2,3,3,1,1,1,,,,,,,,,
,691,,3,Bacarese-Hamilton,2013,2,18,,,,2,2,2,2,3,3,1,1,1,,,,,,,,,
,691,,4,Bacarese-Hamilton,2013,2,18,,,,2,2,2,2,3,3,1,1,1,,,,,,,,,
,12,,1,Baena,2013,2,30,12,,18,2,3,1,4,3,2,1,-1,1,,,,,,,,,
,12,,2,Baena,2013,2,28,13,,15,2,3,1,4,3,2,1,1,1,,,,,,,,,
,12,,3,Baena,2013,2,23,8,,15,2,3,1,4,3,2,1,0,1,,,,,,,,,
,709,,1,Bartley,2015,2,154,,,,3,2,2,4,1,2,1,0,1,,,,,,,,,
,709,,2,Bartley,2015,2,154,,,,3,2,2,4,1,2,1,0,1,,,,,,,,,
,709,,3,Bartley,2015,2,154,,,,3,2,2,4,1,2,1,0,1,,,,,,,,,
,709,,4,Bartley,2015,2,154,,,,3,2,2,4,1,2,1,0,1,,,,,,,,,
,274,,2,Becker,1994,2,1080,,,,2,1,1,3,1,2,1,1,1,"diagnosis type, sex of clinician",,,,,,,,
,274,,1,Becker,1994,2,1080,,,,4,1,1,3,1,2,1,0,1,"diagnosis type, sex of clinician",,,,,,,,
,275,,1,Beckham,1989,1,101,,,,2,1,1,3,3,2,1,0,1,,,,,,,,,
,275,,2,Beckham,1989,1,101,,,,2,1,1,3,3,2,1,1,1,,,,,,,,,
,718,,1,Belter,1999,2,242,,,,2,2,2,3,3,2,1,1,1,,,,,,,,,
,718,,2,Belter,1999,2,242,,,,2,2,2,3,3,2,1,1,1,,,,,,,,,
,14,,,Belton,2014,1,114,55,,59,2,2,1,3,2,3,0,0,1,,,,,,,,,
,15,,1,Benjamin,2017,2,196,138,,58,2,2,4,4,2,3,0,1,1,"confidence, h-index, gender, age",,,,,,,,
,15,,2,Benjamin,2017,2,196,138,,58,2,2,4,4,2,3,0,-1,1,"confidence, h-index, gender, age",,,,,,,,
,720,,1,Bennett,2019,3,387,,,,2,2,6,2,3,3,1,,,,,,,,,,,
,720,,2,Bennett,2019,3,387,,,,2,2,9,2,3,3,1,,,,,,,,,,,
,277,,2,Bergeron,2004,2,44,,,,2,1,7,3,2,2,1,,,,,,,,,,,
,277,,3,Bergeron,2004,2,44,,,,2,1,7,3,2,2,1,,,,,,,,,,,
,277,,1,Bergeron,2004,2,44,,,,2,1,7,3,3,2,1,0,12,,,,,,,,,
,725,,2,Berman,2015,2,333,,,,2,4,2,4,2,2,0,0,1,,,,,,,,,
,725,,4,Berman,2015,2,333,,,,2,2,2,4,2,2,0,0,1,,,,,,,,,
,725,,1,Berman,2015,2,333,,,,2,4,2,4,2,3,0,1,3,,,,,,,,,
,725,,3,Berman,2015,2,333,,,,2,2,2,4,2,3,0,1,3,,,,,,,,,
,726,,2,Berman,2016,2,262,,,,2,4,2,4,1,2,0,0,1,,,,,,,,,
,726,,4,Berman,2016,2,262,,,,2,4,2,4,1,2,0,0,1,,,,,,,,,
,726,,1,Berman,2016,2,262,,,,2,4,2,4,1,3,0,1,3,,,,,,,,,
,726,,3,Berman,2016,2,262,,,,2,4,2,4,1,3,0,1,3,,,,,,,,,
,728,,1,Betcher,2018,2,23,,,,2,3,7,4,3,1,1,0,1,,,,,,,,,
,728,,1,Betcher,2018,2,23,,,,2,3,7,4,3,1,1,0,17,,,,,,,,,
,728,,2,Betcher,2018,2,23,,,,2,3,7,4,3,1,1,0,1,,,,,,,,,
,728,,2,Betcher,2018,2,23,,,,2,3,7,4,3,1,1,0,17,,,,,,,,,
,731,,1,Bianco,2017,3,39,,,,2,3,9,1,3,3,1,1,1,,,,,,,,,
,731,,2,Bianco,2017,3,39,,,,2,3,7,1,3,3,1,0,1,,,,,,,,,
,731,,3,Bianco,2017,3,39,,,,2,3,7,1,3,3,1,0,1,,,,,,,,,
,731,,4,Bianco,2017,3,39,,,,2,3,7,1,3,3,1,0,1,,,,,,,,,
,735,,1,Biggs,2015,17,70,29,,41,2,2,7,1,3,2,1,0,1,,condition,,,,,,,
,735,,2,Biggs,2015,17,70,29,,41,2,2,7,1,3,2,1,0,1,,condition,,,,,,,
,18,,1,Bilalić,2010,8,23,8,,15,2,2,5,2,3,1,0,1,1,,,,,,,,,
,18,,2,Bilalić,2010,8,23,8,,15,2,2,5,2,3,1,0,0,1,,,,,,,,,
,18,,3,Bilalić,2010,8,23,8,,15,2,2,5,2,3,1,0,1,1,,,,,,,,,
,737,,1,Billittier,1998,2,311,,,,3,2,2,4,3,2,1,1,1,,,,,,,,,
,737,,2,Billittier,1998,2,311,,,,3,2,2,4,3,2,1,0,1,,,,,,,,,
,737,,3,Billittier,1998,2,311,,,,3,2,2,4,3,2,1,1,1,,,,,,,,,
,737,,4,Billittier,1998,2,311,,,,3,1,2,4,3,2,1,1,1,,,,,,,,,
,746,,1,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,0,1,experimental manipulation-- training conditions,,,,managers = master students,,,,
,746,,2,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,0,1,experimental manipulation-- training conditions,,,,managers= students,,,,
,746,,3,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,0,1,experimental manipulation-- training conditions,,,,managers = master students,,,,
,746,,4,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,0,1,experimental manipulation-- training conditions,,,,managers= students,,,,
,746,,5,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,-1,1,experimental manipulation-- training conditions,,,,all groups not better than optimum,,,,
,746,,6,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,-1,1,experimental manipulation-- training conditions,,,,all groups not better than optimum,,,,
,746,,7,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,1,1,experimental manipulation-- training conditions,,,,managers = master students,,,,
,746,,8,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,0,1,experimental manipulation-- training conditions,,,,managers= students,,,,
,746,,9,Bolton,2012,4,89,26,31,32,2,2,1,2,2,1,1,-1,1,experimental manipulation-- training conditions,,,,all groups not better than optimum,,,,
,752,,1,Borsci,2017,2,134,62,,72,2,2,2,4,3,2,1,0,1,,,,,,,,,
,752,,2,Borsci,2017,2,134,62,,72,2,2,2,4,3,2,1,0,1,,,,,*experts score lower on social distancing than laypeople,,,,
,755,,1,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,1,9,,target person gender,,,,,,,
,755,,2,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,1,1,,target person gender,,,,,,,
,755,,3,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,1,1,target person gender,,,,,,,,
,755,,4,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,1,1,,target person gender,,,,,,,
,755,,5,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,0,1,,target person gender,,,,,,,
,755,,6,Bourkel,2012,11,185,,,,2,2,1,3,1,2,1,1,1,,target person gender,,,,,,,
,756,,1,Boyle,2018,2,48,26,8,14,2,2,7,4,3,2,1,1,1,,,,,,,,,
,756,,2,Boyle,2018,2,48,26,8,14,2,2,7,4,3,2,1,1,1,,,,,,,,,
,756,,3,Boyle,2018,2,40,26,,14,2,2,7,4,3,2,1,1,1,,,,,eye tracking data,,,,
,756,,4,Boyle,2018,2,40,26,,14,2,2,7,4,3,2,1,1,1,,,,,eye tracking data,,,,
,756,,5,Boyle,2018,2,22,,8,14,2,2,7,4,3,2,1,0,1,,,,,eye tracking data,,,,
,756,,6,Boyle,2018,2,22,,8,14,2,2,7,4,3,2,1,0,1,,,,,,,,,
,756,,7,Boyle,2018,2,34,26,,14,2,2,7,4,3,2,1,0,1,,,,,,,,,
,756,,8,Boyle,2018,2,34,26,,14,2,2,7,4,3,2,1,0,1,,,,,,,,,
,287,,6,Brailey,2001,2,40,20,,20,2,2,,3,2,2,1,1,1,,,,,,,,,
,287,,1,Brailey,2001,2,40,20,,20,2,2,7,3,3,2,1,1,1,,,,,,,,,
,287,,2,Brailey,2001,2,40,20,,20,2,2,7,3,3,2,1,0,1,,,,,,,,,
,287,,3,Brailey,2001,2,40,20,,20,2,2,7,3,3,2,1,1,1,,,,,,,,,
,287,,4,Brailey,2001,2,40,20,,20,2,2,7,3,3,2,1,1,1,,,,,,,,,
,287,,5,Brailey,2001,2,40,20,,20,2,2,7,3,3,2,1,1,1,,,,,,,,,
,759,,1,Brams,2018,5,50,24,,26,2,2,7,2,3,3,1,1,1,,,,,,,,,
,759,,2,Brams,2018,5,50,24,,26,2,2,7,2,3,3,1,1,1,,,,,,,,,
,759,,3,Brams,2018,5,50,24,,26,2,2,9,2,3,3,1,0,1,,,,,,,,,
,291,2,2,Brault,2012,3,24,12,,12,2,2,6,1,2,3,1,1,1,,,,,,,,,
,291,1,,Brault,2012,3,28,14,,14,2,2,4,1,3,3,1,1,1,,,,,,,,,
,291,2,1,Brault,2012,3,24,12,,12,2,2,9,1,3,3,1,1,1,,,,,,,,,
,291,2,3,Brault,2012,3,24,12,,12,2,2,6,1,3,3,1,1,1,,,,,,,,,
,291,2,4,Brault,2012,3,24,12,,12,2,2,6,1,3,3,1,1,1,,,,,,,,,
,763,,,Breheny,2017,28,54,11,43,,2,2,14,4,3,3,1,1,1,,,,,visual perceptual v control,,,,
,294,,1,Bromme,2001,26,229,51,,178,2,2,7,3,2,1,1,-1,1,,,,,,,,,
,294,,2,Bromme,2001,26,229,51,,178,2,2,7,3,2,1,1,-1,1,,,,,,,,,
,294,,3,Bromme,2001,26,229,51,,178,2,2,7,3,2,1,1,-1,1,,,,,,,,,
,294,,4,Bromme,2001,26,51,26,25,,2,1,7,3,2,1,1,0,1,,,,,,,,,
,295,2,1,Brooks,1991,2,32,16,,16,2,2,1,4,3,2,1,0,1,,,,,,,,,
,295,2,2,Brooks,1991,2,32,16,,16,2,2,1,4,3,2,1,0,1,,,,,,,,,
,21,,1,Bruce,2012,3,58,19,20,19,2,2,4,3,3,3,0,1,1,,,,,,,,,
,21,,2,Bruce,2012,3,58,19,20,19,2,2,4,3,3,3,0,1,1,,,,,,,,,
,21,,3,Bruce,2012,3,58,19,20,19,2,2,4,3,3,3,0,1,1,,,,,,,,,
,22,2,2,Burt,2016,24,26,13,,13,2,4,7,1,2,1,1,,1,frequency,,,,,,,,
,22,2,3,Burt,2016,24,26,13,,13,2,4,9,1,2,1,1,,1,frequency,,,,,,,,
,22,2,4,Burt,2016,24,26,13,,13,2,4,7,1,2,1,1,,1,frequency,,,,,,,,
,22,2,5,Burt,2016,24,26,13,,13,2,4,7,1,2,1,1,,1,frequency,,,,,,,,
,22,2,6,Burt,2016,24,72,,,,2,4,9,1,2,1,1,,1,frequency,,,,,,,,
,22,2,7,Burt,2016,24,72,,,,2,4,7,1,2,1,1,,1,frequency,,,,,,,,
,22,2,8,Burt,2016,24,72,,,,2,4,7,1,2,1,1,,1,frequency,,,,,,,,
,22,1,1,Burt,2016,24,30,15,,15,2,4,7,1,3,1,1,,1,,,,,divided entire sample into high vs low expertise,,,,
,22,1,2,Burt,2016,24,30,15,,15,2,4,7,1,3,1,1,,1,,,,,divided entire sample into high vs low expertise,,,,
,22,1,3,Burt,2016,24,30,15,,15,2,4,9,1,3,1,1,1,1,word type,,,,used entire sample to conduct this analyses,,,,
,22,1,4,Burt,2016,24,30,15,,15,2,4,7,1,3,1,1,0,1,word type,,,,used entire sample to conduct this analyses,,,,
,22,1,4,Burt,2016,24,74,,,,2,4,7,1,3,1,1,1,1,word type,,,,used entire sample to conduct this analyses,,,,
,22,2,1,Burt,2016,24,26,13,,13,2,4,7,1,3,1,1,,1,frequency,,,,,,,,
,23,1,1,Camponogara,2017,3,23,9,,14,2,2,4,4,3,2,0,0,1,,,,,,,,,
,23,1,2,Camponogara,2017,3,23,9,,14,2,2,4,4,3,2,0,1,1,,,,,,,,,
,23,1,3,Camponogara,2017,3,23,9,,14,2,2,4,4,3,2,0,1,1,,,,,,,,,
,23,2,1,Camponogara,2017,3,19,9,,10,2,2,4,4,3,2,0,1,1,,,,,,,,,
,23,2,2,Camponogara,2017,3,19,9,,10,2,2,4,4,3,2,0,0,1,,,,,,,,,
,23,2,3,Camponogara,2017,3,19,9,,10,2,2,4,4,3,2,0,1,1,,,,,,,,,
,780,,2,Capio,2019,3,40,20,20,,2,2,6,1,3,3,0,1,1,test (pre or post),,,,,,,,
,780,,3,Capio,2019,3,40,20,20,,2,2,7,1,3,3,0,0,1,,,,,,,,,
,780,,1,Capio,2019,3,40,20,20,,5,3,6,1,3,3,0,1,1,group (expert v lay),,,,,,,,
,784,,1,Carlton,2015,2,912,227,,685,2,2,7,4,3,2,1,1,1,,,,,,,,,
,784,,2,Carlton,2015,2,912,227,,685,2,2,7,4,3,2,1,1,1,,,,,,,,,
,301,,,Carpenter,2016,2,54,20,,34,2,2,1,4,3,2,1,1,3,,,,,more info on 12 vignettes in online supplement,,,,
,24,1,2,Catteeuw,2010,3,15,7,,8,2,2,3,1,2,1,1,1,1,,,,,,,,,
,24,1,1,Catteeuw,2010,3,15,7,,8,2,2,3,1,3,1,1,1,1,,,,,,,,,
,24,1,3,Catteeuw,2010,3,15,7,,8,2,2,3,1,3,1,1,0,1,,,,,,,,,
,24,1,4,Catteeuw,2010,3,15,7,,8,2,2,3,1,3,1,1,0,1,,,,,,,,,
,302,,4,Catteeuw,2009,3,10,5,5,,2,2,3,2,2,1,1,1,3,eye movements,,,,,,,,
,302,,1,Catteeuw,2009,3,10,5,5,,2,2,3,2,3,1,1,1,10,eye movements,,,,,,,,
,302,,2,Catteeuw,2009,3,10,5,5,,2,2,3,2,3,1,1,0,10,eye movements,,,,,,,,
,302,,3,Catteeuw,2009,3,10,5,5,,2,2,3,2,3,1,1,0,10,eye movements,,,,,,,,
,303,,1,Causse,2011,5,,,,,3,2,2,2,3,3,0,1,2,,,,,,,,,
,303,,2,Causse,2011,5,,,,,3,2,2,2,3,3,0,1,2,,,,,,,,,
,25,,2,Chalkley,2013,3,71,26,33,12,2,2,4,2,2,1,1,0,1,,,,,no sig difference between elite & intermediate,,,,
,25,,1,Chalkley,2013,3,71,26,33,12,2,2,4,2,3,1,1,1,1,,,,,no sig difference between elite & intermediate,,,,
,25,,3,Chalkley,2013,3,71,26,33,12,2,2,4,2,3,1,1,1,1,,,,,no sig difference between elite & intermediate,,,,
,26,,18,Chamberlain,2018,7,79,42,,37,2,3,7,3,2,1,1,1,1,,,,,,,,,
,26,,8,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,0,1,,,,,,,,,
,26,,9,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,0,1,,,,,,,,,
,26,,10,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,1,1,,,,,,,,,
,26,,11,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,0,1,,,,,,,,,
,26,,12,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,0,1,,,,,,,,,
,26,,13,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,,1,,,,,,,,,
,26,,14,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,,1,,,,,,,,,
,26,,15,Chamberlain,2018,7,79,42,,37,2,3,7,1,3,1,1,,1,,,,,,,,,
,26,,16,Chamberlain,2018,7,71,,,,2,3,7,1,3,1,1,1,1,condition,,,,,,,,
,26,,17,Chamberlain,2018,7,71,,,,2,3,9,1,3,1,1,1,1,condition,,,,,,,,
,26,,1,Chamberlain,2018,7,79,42,,37,2,3,7,2,3,1,1,1,9,,,,,,,,,
,26,,2,Chamberlain,2018,7,79,42,,37,2,3,7,2,3,1,1,0,9,,,,,,,,,
,26,,3,Chamberlain,2018,7,79,42,,37,2,3,9,2,3,1,1,0,9,,,,,,,,,
,26,,4,Chamberlain,2018,7,79,42,,37,2,3,9,2,3,1,1,0,9,,,,,,,,,
,26,,5,Chamberlain,2018,7,79,42,,37,2,3,7,2,3,1,1,0,1,,,,,,,,,
,26,,6,Chamberlain,2018,7,79,42,,37,2,3,9,2,3,1,1,0,1,consistent vs inconsistent trials,"attention level, salience",,,,,,,
,26,,20,Chamberlain,2018,7,79,42,,37,2,3,7,2,3,1,1,1,1,,,,,,,,,
,26,,7,Chamberlain,2018,7,79,42,,37,2,3,7,3,3,1,1,0,1,type of test,,,,,,,,
,26,,19,Chamberlain,2018,7,79,42,,37,2,3,7,3,3,1,1,1,1,,,,,,,,,
,27,,,Chang,2017,2,93,,,,2,2,1,4,3,1,1,1,1,,,,,,,,,
,795,,1,Chaudary,2019,4,277,,,,2,2,2,4,3,3,1,1,22,,,,,,,,,
,795,,2,Chaudary,2019,4,277,,,,2,2,2,4,3,3,1,1,22,,,,,,,,,
,796,,1,Chavaillaz,2019,17,61,30,,31,2,2,7,1,3,2,1,1,1,,diagnostic aid,,,,,,,
,796,,2,Chavaillaz,2019,17,61,30,,31,2,2,7,1,3,2,1,1,1,,diagnostic aid,,,,,,,
,796,,3,Chavaillaz,2019,17,61,30,,31,2,2,7,1,3,2,1,1,1,,diagnostic aid,,,,,,,
,796,,4,Chavaillaz,2019,17,61,30,,31,2,2,10,1,3,2,1,1,1,,diagnostic aid,,,,,,,
,30,1,1,Chen,2015,9,73,33,,40,2,2,2,4,2,2,0,0,1,,,,,,,,,
,30,1,2,Chen,2015,9,72,32,,40,2,2,2,4,2,2,0,0,5,,,,,,,,,
,306,,7,Chen,2017,3,63,33,30,,2,2,4,1,2,3,1,-1,1,,,,,,,,,
,306,,8,Chen,2017,3,63,33,30,,2,2,4,1,2,3,1,-1,1,,,,,,,,,
,306,,9,Chen,2017,3,63,33,30,,2,2,4,1,2,3,1,0,1,,,,,,,,,
,306,,1,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,1,1,,,,,,,,,
,306,,2,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,1,1,,,,,,,,,
,306,,3,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,0,1,,,,,,,,,
,306,,4,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,1,1,,,,,,,,,
,306,,5,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,0,1,,,,,,,,,
,306,,6,Chen,2017,3,63,33,30,,2,2,4,1,3,3,1,0,1,,,,,,,,,
,804,,1,Chorn,2019,1,,,,,2,,2,4,2,2,1,0,3,,,,,,,,,
,804,,2,Chorn,2019,1,,,,,2,,2,4,2,2,1,0,1,,,,,,,,,
,813,,1,Clarke,1982,2,72,,,,2,2,1,4,3,2,1,,1,,,,,,,,,
,813,,2,Clarke,1982,2,122,50,72,,2,2,1,4,3,2,1,1,1,,,,,,,,,
,814,,1,Clarke,2009,2,60,,,,2,2,4,4,3,2,1,0,1,,,,,,,,,
,814,,2,Clarke,2009,2,60,,,,2,2,4,4,3,2,1,0,1,,,,,only give the correlation of reproting tendency and tenure,,,,
,816,,,Close,2015,2,71,,,,2,2,2,4,3,2,1,1,1,,,,,,,,,
,311,1,2,Correll,2007,1,372,237,,135,2,2,7,1,1,3,1,0,1,,,,,,,,,
,311,1,3,Correll,2007,1,372,237,,135,2,2,7,1,1,3,1,0,1,,,,,,,,,
,311,1,4,Correll,2007,1,372,237,,135,2,2,7,1,1,3,1,1,1,,,,,,,,,
,311,1,5,Correll,2007,1,372,237,,135,2,2,7,1,1,3,1,1,1,,,,,,,,,
,311,1,6,Correll,2007,1,372,237,,135,2,2,9,1,1,3,1,1,1,,,,,,,,,
,311,2,2,Correll,2007,1,76,31,,45,2,2,7,1,1,3,1,1,1,,,,,also examined two officer samples separately but there didn't seem to be a difference in expertise ,,,,
,311,2,3,Correll,2007,1,76,31,,45,2,2,9,1,1,3,1,0,1,,,,,also examined two officer samples separately but there didn't seem to be a difference in expertise ,,,,
,311,1,1,Correll,2007,1,372,237,,135,2,2,7,1,2,3,1,1,1,,,,,also examined two officer samples separately but there didn't seem to be a difference in expertise ,,,,
,311,2,1,Correll,2007,1,76,31,,45,2,2,7,1,2,3,1,1,1,,,,,also examined two officer samples separately but there didn't seem to be a difference in expertise ,,,,
,832,,1,Crenshaw,1995,19,664,,,,2,1,2,3,3,2,1,0,3,,,,,,,,,
,832,,2,Crenshaw,1995,19,664,,,,2,2,2,3,3,2,1,,,,,,,,,,,
,832,,3,Crenshaw,1995,19,664,,,,2,1,2,3,3,2,1,0,3,,,,,eye tracking data,,,,
,832,,4,Crenshaw,1995,19,664,,,,2,2,2,3,3,2,1,,,,,,,eye tracking data,,,,
,832,,5,Crenshaw,1995,19,664,,,,2,1,2,3,3,2,1,0,3,,,,,,,,,
,832,,6,Crenshaw,1995,19,664,,,,2,2,2,3,3,2,1,,,,,,,,,,,
,832,,7,Crenshaw,1995,19,664,,,,2,1,2,3,3,2,1,0,3,,,,,have two different treatment condition and one control. Also find difference between treatment condition. Not coded here. Just coded overall effect,,,,
,832,,8,Crenshaw,1995,19,664,,,,2,2,2,3,3,2,1,,,,,,,have two different treatment condition and one control. Also find difference between treatment condition. Not coded here. Just coded overall effect,,,,
,315,,2,Crowe,2018,2,35,7,10,18,2,2,10,2,3,2,0,1,1,scanning pattern,,,,"scanning pattern, between group comparisons",,,,
,315,,1,Crowe,2018,2,35,7,10,18,2,2,1,2,3,2,1,1,1,scanning pattern,,,,"scanning pattern, between group comparisons",,,,
