Included in Data Table?,PaperID,Expertise IV or Expert sample,Sample(s),DV,Lead Author,Year,Title,Abstract,Journal,Volume,Start Page,End Page,Database,Authors,
,14,X,Lawyers vs nonlawyers,Effect of framing on decisions,Belton,2014,Lawyer and Nonlawyer Susceptibility to Framing Effects in Out-of-Court Civil Litigation Settlement,"Settling a legal dispute out of court is typically a good result for both parties. However, many disputes do not settle: the presence of cognitive biases, such as those observed through framing manipulations, is thought to be one of the many reasons for settlement failure. The present study used quantitative and qualitative data to compare the impact of a gain- or loss-framed hypothetical civil litigation scenario on settlement decisions made by lawyers and other nonlawyer professionals. A significant effect of framing was found for both groups. As predicted, both nonlawyers and lawyers were much more likely to settle their claim in the gain scenario than in the loss scenario. This finding was supported by the qualitative data: risk-averse comments were more frequent in the gain frame whereas risk-seeking statements were more common in the loss frame. There was also evidence that lawyers may be less affected by framing than nonlawyers, although a smaller difference was observed than in previous studies. In addition, lawyers were more likely than nonlawyers to consider the expected financial value of the litigation in making their decision. We discuss the implications of these results and suggest avenues for future research.",JOURNAL OF EMPIRICAL LEGAL STUDIES,11,578,600,Web of Science,"Belton, Ian K.; Thomson, Mary; Dhami, Mandeep K.",
,15,X,level of expertise for researchers,accuracy of prediction for RP:CB,Benjamin,2017,Can cancer researchers accurately judge whether preclinical reports will reproduce?,"There is vigorous debate about the reproducibility of research findings in cancer biology. Whether scientists can accurately assess which experiments will reproduce original findings is important to determining the pace at which science self-corrects. We collected forecasts from basic and preclinical cancer researchers on the first 6 replication studies conducted by the Reproducibility Project: Cancer Biology (RP: CB) to assess the accuracy of expert judgments on specific replication outcomes. On average, researchers forecasted a 75% probability of replicating the statistical significance and a 50% probability of replicating the effect size, yet none of these studies successfully replicated on either criterion (for the 5 studies with results reported). Accuracy was related to expertise: experts with higher h-indices were more accurate, whereas experts with more topic-specific expertise were less accurate. Our findings suggest that experts, especially those with specialized knowledge, were overconfident about the RP: CB replicating individual experiments within published reports; researcher optimism likely reflects a combination of overestimating the validity of original studies and underestimating the difficulties of repeating their methodologies.",PLOS BIOLOGY,15,,,Web of Science,"Benjamin, Daniel; Mandel, David R.; Kimmelman, Jonathan",
9,16,X,Expert clinicians,Diagnosis accuracy,Ben-Shakhar,1998,Seek and ye shall find: Test results are what you hypothesize they are,"Expert clinicians were given batteries of psychodiagnostic test results (Rorschach, TAT, Draw-A-Person, Bender-Gestalt, Wechsler) to analyze. For half, a battery came along with a suggestion that the person suffers from Borderline Personality disorder, and for half, that battery was accompanied by a suggestion that he suffers from Paranoid Personality disorder. In Study 1, the suggestion was made indirectly, through a background story that preceded the test results. In Study 2, the suggestion was made directly, by the instructions given. The experts saw in the tests what they hypothesized to be there. In particular, the target diagnoses were rated higher when they were hypothesized than when they were not. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Behavioral Decision Making,11,235,249,PsycINFO ," Ben-Shakhar, Gershon
Ben-Shakhar
Gershon
Hebrew U of Jerusalem
Dept of Psychology
Jerusalem
Israel , Bar-Hillel, Maya
Bar-Hillel
Maya , Bilu, Yoram
Bilu
Yoram , Shefler, Gaby
Shefler
Gaby",
,18,X,novices and chess experts,decision / the neural mechanisms,Bilalić,2010,Mechanisms and neural basis of object and pattern recognition: A study with chess experts,"Comparing experts with novices offers unique insights into the functioning of cognition, based on the maximization of individual differences. Here we used this expertise approach to disentangle the mechanisms and neural basis behind two processes that contribute to everyday expertise: object and pattern recognition. We compared chess experts and novices performing chess-related and -unrelated (visual) search tasks. As expected, the superiority of experts was limited to the chess-specific task, as there were no differences in a control task that used the same chess stimuli but did not require chess-specific recognition. The analysis of eye movements showed that experts immediately and exclusively focused on the relevant aspects in the chess task, whereas novices also examined irrelevant aspects. With random chess positions, when pattern knowledge could not be used to guide perception, experts nevertheless maintained an advantage. Experts' superior domain-specific parafoveal vision, a consequence of their knowledge about individual domain-specific symbols, enabled improved object recognition. Functional magnetic resonance imaging corroborated this differentiation between object and pattern recognition and showed that chess-specific object recognition was accompanied by bilateral activation of the occipitotemporal junction, whereas chess-specific pattern recognition was related to bilateral activations in the middle part of the collateral sulci. Using the expertise approach together with carefully chosen controls and multiple dependent measures, we identified object and pattern recognition as two essential cognitive processes in expert visual cognition, which may also help to explain the mechanisms of everyday perception. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: General,139,728,742,PsycARTICLES," Bilalić, Merim
Bilalić
Merim
Department of Neuroradiology
Tubingen University
Tubingen
Germany
merim.bilalic@med.unituebingen.de , Langner, Robert
Langner
Robert
Department of Psychiatry and Psychotherapy and Neuropsychology Section
RWTH Aachen University Hospital
Aachen
Germany
0000-0002-3237-001X , Erb, Michael
Erb
Michael
Department of Neuroradiology
Tubingen University
Tubingen
Germany
0000-0002-9311-4693 , Grodd, Wolfgang
Grodd
Wolfgang
Department of Neuroradiology
Tubingen University
Tubingen
Germany",
,21,X,netballers,decision making ,Bruce,2012,But I can’t pass that far! The influence of motor skill on decision making,"Objectives: The influence of motor skill on perceptual-cognitive and perceptual-motor decision making has been theorised but not verified empirically. Method: Expert (n = 19), developmental (n = 20), and lesser-skilled netballers (n = 19) completed tests designed to evaluate three different components of domain-specific expertise: (i) motor skill-execution; (ii) perceptual-cognitive decision making; and (iii) perceptual-motor decision making. Results: Each of the three measures was found to improve commensurate with domain-specific skill. Decisions requiring movements (perceptual-motor) elicited more accurate decision making than simple verbal responses (perceptual-cognitive), irrespective of participant skill. Although motor skill was found to be related to the successful execution of a most appropriate movement in a game situation, it was not found to limit the nature of the decision made by participants. No evidence was found to support the supposition that lesser-skilled participants bias their perceptual-cognitive decisions towards ones supported by their motor ability. Conclusions: Results fail to comprehensively support the contemporary models for the development of perceptual-cognitive and perceptual-motor skill in sport. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychology of Sport and Exercise,13,152,161,PsycINFO ," Bruce, Lyndell
Bruce
Lyndell
Australian Institute of Sport
Bruce
ACT
Australia
lyndell.bruce@rmit.edu.au
0000-0003-4652-5171 , Farrow, Damian
Farrow
Damian
Australian Institute of Sport
Bruce
ACT
Australia
Damian.Farrow@vu.edu.au , Raynor, Annette
Raynor
Annette
School of Health Sciences
University of South Australia
Adelaide
SA
Australia
Annette.Raynor@unisa.edu.au
0000-0002-6517-3872 , Mann, David
Mann
David
School of Optometry and Vision Science
University of New South Wales
Sydney
NSW
Australia
d.mann@unsw.edu.au",
,22,X,university students based on lexical experience,lexical decision making,Burt,2016,The role of lexical expertise in reading homophones,"In Experiment 1, university students classified on lexical expertise on the basis of spelling plus nonword pronunciation accuracy made lexical decisions to homophones and control words. Homophones were accepted as words more slowly than control words, but lexical experts showed a smaller homophone cost than the less skilled group. In Experiment 2, similarly classified groups showed a large difference in their ability to detect homophones, with the low-expertise group showing a yes bias to high-frequency words, and having difficulty detecting homophones when mate-frequency was low. The results suggest superior use of orthography in the lexical experts and more reliance on semantic information in nonexperts, and support the importance of facility with orthography–phonology mappings in lexical expertise. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)",The Quarterly Journal of Experimental Psychology,69,1302,1321,PsycINFO ," Burt, Jennifer S.
Burt
Jennifer S.
School of Psychology
University of Queensland
Brisbane
QLD
Australia
j.burt@psy.uq.edu.au , Jared, Debra
Jared
Debra
Department of Psychology
University of Western Ontario
London
ON
Canada",
,23,X,"experienced, novice basketball players",final running direction,Camponogara,2017,Expert players accurately detect an opponent’s movement intentions through sound alone,"Sounds offer a rich source of information about events taking place in our physical and social environment. However, outside the domains of speech and music, little is known about whether humans can recognize and act upon the intentions of another agent’s actions detected through auditory information alone. In this study we assessed whether intention can be inferred from the sound an action makes, and in turn, whether this information can be used to prospectively guide movement. In 2 experiments experienced and novice basketball players had to virtually intercept an attacker by listening to audio recordings of that player’s movements. In the first experiment participants had to move a slider, while in the second one their body, to block the perceived passage of the attacker as they would in a real basketball game. Combinations of deceptive and nondeceptive movements were used to see if novice and/or experienced listeners could perceive the attacker’s intentions through sound alone. We showed that basketball players were able to more accurately predict final running direction compared to nonplayers, particularly in the second experiment when the interceptive action was more basketball specific. We suggest that athletes present better action anticipation by being able to pick up and use the relevant kinematic features of deceptive movement from event-related sounds alone. This result suggests that action intention can be perceived through the sound a movement makes and that the ability to determine another person’s action intention from the information conveyed through sound is honed through practice. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Human Perception and Performance,43,348,359,PsycARTICLES," Camponogara, Ivan
Camponogara
Ivan
Department of Neurological, Biomedical and Movement Sciences, University of Verona
Verona
Italy
ivan.camponogara@gmail.com , Rodger, Matthew
Rodger
Matthew
School of Psychology, Queens’ University of Belfast
Belfast
United Kingdom , Craig, Cathy
Craig
Cathy
School of Psychology, Queens’ University of Belfast
Belfast
United Kingdom , Cesari, Paola
Cesari
Paola
Department of Neurological, Biomedical and Movement Sciences, University of Verona
Verona
Italy",
,24,X,Assistant referees,Offside decision,Catteeuw,2010,Perceptual-cognitive skills in offside decision making: Expertise and training effects,"This two-experiment study aims to investigate the role of expertise in offside decision making (Experiment 1) and the effect of perceptual-cognitive training (Experiment 2). In Experiment 1, a video-based offside decision-making task followed by a frame recognition task demonstrated a bias toward flag errors and a forward memory shift for less-successful elite-standard assistant referees that is in line with the predictions from the flash-lag effect. In Experiment 2, an offside decision-making training program demonstrated a substantial progress from pre- to posttest for response accuracy, but not for accuracy of memory in the frame recognition task. In both experiments, no differences were found for visual scan patterns. First, these results suggest that less-successful elite-standard assistant referees are more affected by the flash-lag effect. Second, an off-field perceptual-cognitive training program can help assistant referees to deal with the perceptual consequences of the flash-lag illusion and to readjust their decision-making process accordingly. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Sport & Exercise Psychology,32,828,844,PsycINFO ," Catteeuw, Peter
Catteeuw
Peter
Faculty of Kinesiology and Rehabilitation Sciences
Department of Biomedical Kinesiology, Research Centre for Movement Control and Neuroplasticity, Katholieke Universiteit Leuven
Heverlee
Belgium , Gilis, Bart
Gilis
Bart
Faculty of Kinesiology and Rehabilitation Sciences
Department of Biomedical Kinesiology, Research Centre for Movement Control and Neuroplasticity, Katholieke Universiteit Leuven
Heverlee
Belgium , Wagemans, Johan
Wagemans
Johan
Faculty of Psychology and Educational Sciences
Laboratory of Experimental Psychology, Katholieke Universiteit Leuven
Leuven
Belgium , Helsen, Werner
Helsen
Werner
Faculty of Kinesiology and Rehabilitation Sciences
Department of Biomedical Kinesiology, Research Centre for Movement Control Neuroplasticity, Laboratory of Perception and Performance, Katholieke Universiteit Leuven
Heverlee
Belgium",
,25,X,elite umpire vs. club empire,prediction of ball position,Chalkley,2013,Predicting Ball Flight in Cricket from an Umpire's Perspective,"This study examined accuracy of ball flight predictions and error source for judging leg-before-wicket (LBW) in cricket using a video-based decision making task. Twenty-six club-elite umpires, 33 club-intermediate umpires, and 12 control participants viewed videos which depicted the typical view of an umpire's perspective. Participants were asked to predict the final ball position at the stumps after the video was temporally occluded, using a computer cursor. Videos were occluded at two points, ball bounce and two frames post-bounce. Performance was measured using the horizontal and vertical error in pixels. The club-elite and club-intermediate umpires were more accurate than the control group. All groups made less horizontal error compared to vertical error, particularly in the post-bounce condition. Umpires were more certain of their decisions than control participants. The results indicate that umpires possess a domain-specific skill which enables them to more accurately predict ball path, a critical component of LBW judgements. The results also indicate that vertical judgements were poorer overall. This finding implies a specific potential training area for umpires.",INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING,8,445,454,Web of Science,"Chalkley, Daniel; MacMahon, Clare; Ball, Kevin",
,26,X,Art students v non-art students,Visual spatial ability,Chamberlain,2018,Artists as experts in visual cognition: An update,"The question of whether and how visual artists see the world differently than nonartists has long engaged researchers and scholars in the arts, sciences, and humanities. Yet as evidence regarding this issue accumulates, it has become clear that the answers to these questions are by no means straightforward. With a view to advancing ongoing debate in this field, the current study aimed to replicate and extend previous research by exploring the differences in visual-spatial ability between art students (n = 42) and nonart students (n = 37), using a comprehensive battery of visual-spatial and drawing tasks. Art students outperformed nonart students on drawing measures and some (but not all) visual-spatial tasks. This nuanced pattern of results broadly supports the notion that art students differ from nonart students in their ability to exert top-down control over attentional processing, but not in the phenomenology of low-level visual processing. Implications for theories of artistic expertise are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","Psychology of Aesthetics, Creativity, and the Arts",,,,PsycARTICLES," Chamberlain, Rebecca
Chamberlain
Rebecca
Laboratory of Experimental Psychology, KU Leuven
Leuven
Belgium
r.chamberlain@gold.ac.uk , Drake, Jennifer E.
Drake
Jennifer E.
Department of Psychology, Brooklyn College, City University of New York
NY
US , Kozbelt, Aaron
Kozbelt
Aaron
Department of Psychology, Brooklyn College, City University of New York
NY
US , Hickman, Rachel
Hickman
Rachel
Department of Psychology, Brooklyn College, City University of New York
NY
US , Siev, Joseph
Siev
Joseph
Department of Psychology, Brooklyn College, City University of New York
NY
US , Wagemans, Johan
Wagemans
Johan
Laboratory of Experimental Psychology, KU Leuven
Leuven
Belgium",
