Included in Data Table?,PaperID,ExpertiseIVOp,Abstract,Lead Author,Year,Title,Journal,Volume,Start Page,End Page,Database,Authors
9,650,4,"Background: Nurses caring for the large numbers of people with leg ulceration play a key role in promoting quality in health via their diagnostic and treatment clinical judgements. In the UK, audit evidence suggests that the quality of these judgements is often sub optimal. Misdiagnosis and incorrect treatment choices are likely to affect healing rates, patients’ quality of life, patient safety and healthcare costs. Objectives: To explore the diagnostic judgements and treatment choices of UK community nurses managing venous leg ulceration. Design: A judgement analysis based on Brunswik's psychological Lens Model theory. Setting: UK community and primary care nursing services. Participants: 18 community generalist nurses working in district (home) nursing teams and general practitioner services and 18 community tissue viability specialist nurses. Methods: During 2011 and 2012, 36 nurses made diagnostic judgements and treatment choices in response to 110 clinical scenarios. Scenarios were generated from real patient cases and presented online using text and wound photographs. The consensus judgements of a panel of nurses with advanced knowledge of leg ulceration judged the same scenarios and provided a standard against which to compare the participants. Correlations and logistic regression models were constructed to generate various indices of judgement and decision “performance”: accuracy (R a ), consistency (R s ) and information use (G) and uncertainty (R e ). Results: Taking uncertainty into account, nurses could theoretically have achieved a diagnostic level of accuracy of 0.63 but the nurses only achieved an accuracy of 0.48. For the treatment judgement (whether applying high compression was warranted) nurses could have achieved an accuracy of 0.88 but achieved only an accuracy of 0.49. This may have been due to the nurses giving insufficient weight to the diagnostic cues of medical history and appearance of the leg and ulcer and insufficient weight to the treatment cues of type of leg ulcer and pain. Conclusion: Clinical judgements and decisions made by nurses managing leg ulceration are complex and uncertain and some of the variability in judgements and choices can be explained by the ways in which nurses process the information and handle the uncertainties, present in clinical encounters. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",Adderley,2015,Community nurses’ judgement for the management of venous leg ulceration: A judgement analysis,International Journal of Nursing Studies,52,345,354,PsycINFO,"Adderley, Una J.;Thompson, Carl"
,651,2,"Developed an iterative Bayesian decision aid to give users greater control of the decision-making process and thereby increase the likelihood of aid implementation. The aid permits users to modify the initially assessed likelihood ratios and resulting posterior odds for the hypotheses under consideration until they feel comfortable with the inferred implications of the data. The aid was applied to the area of military tactical intelligence analysis and evaluated experimentally by experienced analysts on a training task representative of that decision-making environment. 12 experienced and 18 inexperienced (but trained) analysts working with the aid were (1) better able to discriminate between the most and least likely hypotheses and (2) assigned final likelihoods to the hypotheses that were more similar to normative likelihoods derived from Bayes's theorem than unaided analysts. In addition, analyses of individual analysts revealed large differences in decision-making strategies. These differences demonstrate that users can approach the inference problem using their own decision-making style, thereby ensuring user control over all stages of the decision-making process. (27 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Adelman,1982,An iterative Bayesian decision aid: Toward improving the user–aid and user–organization interfaces,"IEEE Transactions on Systems, Man, & Cybernetics",12,733,743,PsycINFO,"Adelman, Leonard;Donnell, Michael L.;Phelps, Ruth H.;Patterson, John F."
9,652,9,,AGNEW,1982,FROM SKYHOOKS TO WALKING STICKS - ON THE ROAD TO NONRATIONAL DECISION-MAKING,ORGANIZATIONAL DYNAMICS,11,40,58,Web of Science,"AGNEW, NM; BROWN, JL"
9,653,9,,AGNEW,1986,BOUNDED RATIONALITY - FALLIBLE DECISIONS IN UNBOUNDED DECISION SPACE,BEHAVIORAL SCIENCE,31,148,161,Web of Science,"AGNEW, NM; BROWN, JL"
9,654,9,,AHMED,1995,Wavelet feature performance analysis for distortion-invariant target detection,"SIGNAL PROCESSING, SENSOR FUSION, AND TARGET RECOGNITION IV",2484,644,649,Web of Science,"AHMED, F; KARIM, MA"
9,655,9,"Objective: To determine whether senior surgical residents can independently interpret radiologic studies for the trauma patients under their care.Method: Five senior surgical residents (PGY-4 and -5) participated in this prospective study. The residents independently read trauma films as part of the emergency assessment, documenting their interpretations to be compared with the reports by nighthawk radiologists.Results: During a period of 4 months, 426 films of 124 trauma patients admitted to a Level H trauma center were read by one of the five senior surgical residents, and by nighthawk radiologists. Approximately 22% of these were penetrating injuries and the remainder blunt trauma. Residents identified 127 injuries versus 128 injuries indentified by the radiologists, with 99.2% agreement. The residents missed two injuries, while the radiologists missed one.Conclusions: Senior surgical residents can independently and accurately interpret the trauma radiology studies, a skill essential for time-critical decision making.",Ahmed,2006,"Residents managed trauma adequately using their own radiological interpretation as compared with ""nighthawk"" radiologists",JOURNAL OF TRAUMA-INJURY INFECTION AND CRITICAL CARE,61,555,556,Web of Science,"Ahmed, Naveed; Guo, Alan; Elhassan, Hisham; Qaiser, Rabia; Chung, Raphael"
,656,1,"This experiment was designed to assess, for the first time, the effects of training police officers, social workers and students in Criteria-Based Content Analysis (CBCA) in an attempt to increase lie detection accuracy. A within-subjects design was implemented. Participants rated the truthfulness of a maximum of four statements before training in CBCA and rated the truthfulness of a different set of four statements after training. The raters were only exposed to the written transcripts of the communicators. Two thirds of the statements utilized were truthful and one third were based on fabrications. Before training, there were no significant differences in detection accuracy between the police officers (66% accuracy), the social workers (72% accuracy) and the students (56% accuracy). After training, the social workers were 77% accurate and significantly more accurate than the police officers (55%) and the students (61%). However, none of the three groups of raters significantly improved their lie detection accuracy after training, in fact, the police officers performed significantly poorer. Overall, police officers were significantly more confident than social workers and lay persons regardless of accuracy. Further, participants were most confident when labelling a statement truthful regardless of whether or not this was the correct decision. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Akehurst,2004,The Effects of Training Professional Groups and Lay Persons to use Criteria-Based Content Analysis to Detect Deception,Applied Cognitive Psychology,18,877,891,PsycINFO,"Akehurst, Lucy;Bull, Ray;Vrij, Aldert;Köhnken, Günter"
9,657,4,"Background. One-third of all extremity soft tissue sarcomas are misdiagnosed and inappropriately excised without proper preoperative diagnosis and planning. This study aimed at examining the clinical judgment of residents in both general and orthopaedic surgery and at determining whether resident education plays a role in appropriately managing unknown soft tissue masses. Methods. A case-based survey was used to assess clinical decisions, practice patterns, and demographics. Aggregate response for all of the clinical cases by each respondent was correlated with the selections made for practice patterns and demographic data. Results. A total of 381 responses were returned. A higher percentage of respondents from the orthopaedic group (84.2%) noted having a dedicated STS rotation as compared to the general surgery group (35.8%) P < 0.001. Depth, size, and location of the mass, rate of growth, and imaging characteristics were considered to be important factors. Each additional year of training resulted in 10% increased odds of selecting the correct clinical decision for both groups. Conclusion. Our study showed that current residents in both orthopaedic surgery and general surgery are able to appropriately identify patients with suspicious masses. Continuing education in sarcoma care should be implemented beyond the years of residency training.",Alamanda,2013,Influence of Resident Education in Correctly Diagnosing Extremity Soft Tissue Sarcoma,Sarcoma,,679323,Article No.: 679323,Web of Science,"Alamanda, Vignesh K.; Crosby, Samuel N.; Mathis, Shannon L.; Archer, Kristin R.; Terhune, Kyla P.; Holt, Ginger E."
9,658,4,"Prior research has shown that physicians' medical decisions can be influenced by sequential context, particularly in cases where successive stimuli exhibit similar characteristics when analyzing medical images. This type of systematic error is known to psychophysicists as sequential context effect as it indicates that judgments are influenced by features of and decisions about the preceding case in the sequence of examined cases, rather than being based solely on the peculiarities unique to the present case. We determine if radiologists experience some form of context bias, using screening mammography as the use case. To this end, we explore correlations between previous perceptual behavior and diagnostic decisions and current decisions. We hypothesize that a radiologist's visual search pattern and diagnostic decisions in previous cases are predictive of the radiologist's current diagnostic decisions. To test our hypothesis, we tasked 10 radiologists of varied experience to conduct blind reviews of 100 four-view screening mammograms. Eye-tracking data and diagnostic decisions were collected from each radiologist under conditions mimicking clinical practice. Perceptual behavior was quantified using the fractal dimension of gaze scanpath, which was computed using the Minkowski-Bouligand boxcounting method. To test the effect of previous behavior and decisions, we conducted a multifactor fixed-effects ANOVA. Further, to examine the predictive value of previous perceptual behavior and decisions, we trained and evaluated a predictive model for radiologists' current diagnostic decisions. ANOVA tests showed that previous visual behavior, characterized by fractal analysis, previous diagnostic decisions, and image characteristics of previous cases are significant predictors of current diagnostic decisions. Additionally, predictive modeling of diagnostic decisions showed an overall improvement in prediction error when the model is trained on additional information about previous perceptual behavior and diagnostic decisions. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.",Alamudun,2018,Modeling sequential context effects in diagnostic interpretation of screening mammograms,JOURNAL OF MEDICAL IMAGING,5,,,Web of Science,"Alamudun, Folami; Paulus, Paige; Yoon, Hong-Jun; Tourassi, Georgia"
9,659,9,"The aim of this paper is to present a case study to see if a group of players get improve their decision-making through intentional learning of complex rules, with little perceptual salience. They included 10 basketball players male aged between 18 and 24 years (M=21.47). A within pre-experimental design was used, in which the group considered is the experimental group. In the study the effect of individual responses from each player in the intervention were examined with a cross comparison analyzing the pre and post exposure changes to the intervention, and other longitudinal, to assess the changes occurring throughout the season, selecting 8 games for it randomly. Decision making were measured during blocking actions that occurred during games. The intervention was based on the presentation of the keys using a reflective feedback The results show that after the process of training the players made better decisions for the actions of blocks. Furthermore a correlation between decision making and effectiveness found in the game. The results obtained in this study lead us to believe that the training of decision-making based on an explicit learning with a reflective intentionality may be suitable for highly complex actions such as those that occur in crashes in basketball.",Alarcon Lopez,2014,Learning complex basketball rules discriminative through instruction intentional.,Cuadernos de Psicologia del Deporte,14,109,116,Web of Science,"Alarcon Lopez, F.; Urena Ortin, N.; Cardenas Velez, D."
9,660,4,"Compared 2 types of problem analysis information for their effects on 48 regular education teachers' problem attributions, ratings of acceptability, and preferences for intervention alternatives. Ss were given problem analysis vignettes containing either behavioral or instructional environment information after watching a videotape of a 2nd-grade girl exhibiting classroom behavior problems. Instructional environment information led to more problem attributions involving conditions in the classroom. Behavioral information led to more problem attributions concerning student characteristics and behavior and remote contextual variables. Ss in both informational conditions preferred instructional modification as a means of responding to the student's problems. Ratings of the intervention categories correlated significantly with Ss' problem attributions, perceptions of problem severity, and perceived likelihood for resolution in the classroom. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",Aldrich,1993,The effects of behavioral problem analysis versus instructional environment information on teachers' perceptions,School Psychology Quarterly,8,110,124,PsycARTICLES,"Aldrich, Seth F.;Martens, Brian K."
9,661,4,"372 doctoral-level psychologists of varying orientations and levels of experience with mentally retarded persons were exposed to brief therapy transcript that was labeled or unlabeled with regard to mental retardation to examine the effects of the mentally retarded label on Ss' clinical judgment. Each S responded to 1 of 2 transcripts with ratings of severity of psychopathology and preferred treatment choices; Ss also rated the effects of the client's level of intellectual functioning on their assessment decisions. ANOVA revealed that the mentally retarded label resulted in ratings of less severity of psychopathology, treatment choices that were more behavioral in nature, and attributions of greater importance to the client's level of intellectual functioning in the assessment process. Findings are interpreted as representing diagnostic labeling bias. (9 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Alford,1984,Clinical responses to psychopathology of mentally retarded persons,American Journal of Mental Deficiency,89,195,197,PsycINFO,"Alford, Joe D.;Locke, Bill J."
9,662,4,"Objective. To determine what expert assessors value when making pass-fail decisions regarding pharmacy students based on summative data from objective structured clinical examinations (OSCE), and to determine the reliability of these judgments between multiple assessors.Methods. All assessment data from 10 exit-from-degree OSCE stations for seven borderline pharmacy students (determined by standard setting methods) and one control was given to three of eight assessors for review. Assessors determined an overall pass-fail decision based on their perception of graduate competency. Assessors were interviewed to determine their decision-making rationale. Intraclass correlation coefficients were used to calculate reliability between assessor judgments.Results. Expert consensus was achieved for three of the eight students, however, the assessors' decisions did not align with standard-setting results. The reliability of assessors' decisions was poor. Assessors focused on ability to make correct recommendations rather than on gathering information or providing follow-up advice. Global evaluations (including a student's communication skills) rarely influenced the assessors' decision-making.Conclusion. When faced with making pass-fail decisions for borderline students, the assessors focus on evaluating the same competencies in the students but differed in their expected performance levels of these competencies. Pass-fail decisions are primarily based on task-focused components instead of global components (eg, communication skills), despite that global components are weighted the same for scoring purposes.",Ali,2019,Pass-Fail Decisions for Borderline Performers After a Summative Objective Structured Clinical Examination,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,83,142,147,Web of Science,"Ali, Mayar; Pawluk, Shane A.; Rainkie, Daniel C.; Wilby, Kyle John"
9,663,4,"Nurses working for telephone‐based medical helplines must maintain attentional focus while quickly and accurately processing information given by callers to make safe and appropriate treatment decisions. In this study, both higher levels of general occupational stress and elevated stress levels on particular shifts were associated with more frequent failures of attention, memory, and concentration in telephone nurses. Exposure to a stressful shift was also associated with a measurable increase in objectively assessed information‐processing errors. Nurses who experienced more frequent cognitive failures at work made more conservative decisions, tending to refer patients on to other health professionals more often than other nurses. As stress is associated with cognitive performance decrements in telephone nursing, stress‐reduction interventions could improve the quality and safety of care that callers to medical helplines receive. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Allan,2014,"Stress in telephone helpline nurses is associated with failures of concentration, attention and memory, and with more conservative referral decisions",British Journal of Psychology,105,200,213,PsycINFO,"Allan, Julia L.;Farquharson, Barbara;Johnston, Derek W.;Jones, Martyn C.;Choudhary, Carolyn J.;Johnston, Marie"
9,664,9,,ALLISON,1995,A PROCESS VALUE ANALYSIS OF DECISION-MAKER BIAS - THE CASE OF ECONOMIC-CONFLICTS OF INTEREST,AMERICAN BUSINESS LAW JOURNAL,32,481,540,Web of Science,"ALLISON, JR"
9,665,4,"Human capital theory presumes that skill-accredited immigrant professionals can access positions in the labour market to match their skills and qualifications. It implies that employers have little power to influence the labour market outcomes of immigrant professionals. Using social identity theory, we examine the influence of similarity effect in recruitment decision-making involving immigrant information technology (IT) professionals in New South Wales, Australia. We assess how decision makers (N=331) hiring IT professionals need to associate and identify with people that resemble themselves in some way more than those that do not, can influence their perception of the immigrant candidate's fit into their organisation. Particularly, we examine how the level of exposure to diversity, the decision maker's origin and the diversity of clientele can moderate the assessment of the candidate's fit to the organisation. We also assess how attire, name, accent and any overtly expressed religious affiliations influence employer perceptions. The findings indicate decision makers with lower levels of exposure to diversity or working in organisations with mostly Anglo clients tend to be more concerned of the fit regarding the Indians, South-east Asians and the Chinese. They were also more likely to be negatively influenced by the non-Anglo personal attributes.",Almeida,2015,Fitting the mould: the role of employer perceptions in immigrant recruitment decision-making,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,26,2811,2832,Web of Science,"Almeida, Shamika; Fernando, Mario; Hannif, Zeenobiyah; Dharmage, Shyamali C."
9,666,9,,Ameratunga,2019,Criminalisation of unintentional error in healthcare in the UK: a perspective from New Zealand,BMJ-BRITISH MEDICAL JOURNAL,364,,,Web of Science,"Ameratunga, Rohan; Klonin, Hilary; Vaughan, Jenny; Merry, Alan; Cusack, Jonathan"
9,667,9,,Amsden,2003,Push technology in the pharmacy. Clinical decision support helps the pharmacy department of a South Carolina medical center automate monitoring of medication effectiveness.,Health management technology,24,28,31,Web of Science,"Amsden, David"
9,668,4,"Overconfidence has emerged as a significant explanation of behaviour in diverse managerial settings. In this paper, we explore the relevance of overconfidence for supply chain-management by running a series of human experiments within the framework of the classic Beer Game. Unlike previous experimental studies, participants were knowledgeable about supply chain management, either being graduate students in Operations Management or purchasing professionals. Results of the study support the view that overconfidence may lead supply chain professionals to be less careful in the management of inventories and thus incur more costs. A first implication for organizations is that purchasing professionals should be trained to discount their expectations of success by removing this optimistic bias. A second is the importance of providing managers and employees with benchmarks that allow them to assess correctly their performance in relative terms. The study also underlines the effect of environmental uncertainty as an important contextual factor influencing overconfident behaviour. (C) 2016 Elsevier Ltd. All rights reserved.",Ancarani,2016,Measuring overconfidence in inventory management decisions,JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT,22,171,180,Web of Science,"Ancarani, A.; Di Mauro, Carmela; D'urso, Diego"
,669,2,"Examined whether evaluative judgments of auditors' performance are subject to hindsight bias and/or a user–preparer expectation gap. Also examined were a potential cognitive basis for hindsight bias and whether certain environmental conditions (presence of red flags) facilitate a backward reconstruction (BR) of events. This BR has been argued to magnify the effects of hindsight bias. A behavioral experiment was conducted with 65 federal and state general jurisdiction judges and 58 auditors. Results indicate that judges provided lower evaluations of auditors' performance than did auditors, reflective of an expectation gap. Evaluative judgments of auditors' performance were subject to hindsight bias. Results are consistent with a cognitive interpretation of hindsight bias. The manipulation of the red flags may have been too weak to elicit hypothesized results. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",Anderson,1993,Evaluation of auditor decisions: Hindsight bias effects and the expectation gap,Journal of Economic Psychology,14,711,737,PsycINFO,"Anderson, John C.;Lowe, D. Jordan;Reckers, Philip M. J."
